1927/1928  1        Actor|Richard Barthelmess|The Noose
                    Assistant Director|San Francisco|Joseph Newman
             Winner Cinematography|Anthony Adverse|Gaetano Gaudio
                    Cinematography|The General Died at Dawn|Victor Milner
                    Cinematography|The Gorgeous Hussy|George Folsey
                    Dance Direction|Busby Berkeley|Love and War number from Gold Diggers of 1937
                    Dance Direction|Bobby Connolly|1000 Love Songs number from Cain and Mabel
             Winner Dance Direction|Seymour Felix|A Pretty Girl Is Like a Melody number from The Great Ziegfeld
                    Dance Direction|Dave Gould|Swingin' the Jinx number from Born to Dance
                    Dance Direction|Jack Haskell|Skating Ensemble number from One in a Million
                    Dance Direction|Russell Lewis|The Finale number from Dancing Pirate
                    Dance Direction|Hermes Pan|Bojangles of Harlem number from Swing Time
                    Directing|Dodsworth|William Wyler
                    Directing|The Great Ziegfeld|Robert Z. Leonard
             Winner Directing|Mr. Deeds Goes to Town|Frank Capra
                    Directing|My Man Godfrey|Gregory La Cava
                    Directing|San Francisco|W. S. Van Dyke
             Winner Film Editing|Anthony Adverse|Ralph Dawson
                    Film Editing|Come and Get It|Edward Curtiss
                    Film Editing|The Great Ziegfeld|William S. Gray
                    Film Editing|Lloyds of London|Barbara McLean
                    Film Editing|A Tale of Two Cities|Conrad A. Nervig
                    Film Editing|Theodora Goes Wild|Otto Meyer
             Winner Music (Scoring)|Anthony Adverse|Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)
                    Music (Scoring)|The Charge of the Light Brigade|Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)
                    Music (Scoring)|The Garden of Allah|Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)
                    Music (Scoring)|The General Died at Dawn|Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)
                    Music (Scoring)|Winterset|RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)
                    Music (Song)|"""Did I Remember"" from Suzy"|Music by Walter Donaldson; Lyrics by Harold Adamson
                    Music (Song)|"""I've Got You Under My Skin"" from Born to Dance"|Music and Lyrics by Cole Porter
                    Music (Song)|"""A Melody From The Sky"" from Trail of the Lonesome Pine"|Music by Louis Alter; Lyrics by Sidney Mitchell
                    Music (Song)|"""Pennies From Heaven"" from Pennies from Heaven"|Music by Arthur Johnston; Lyrics by Johnny Burke
             Winner Music (Song)|"""The Way You Look Tonight"" from Swing Time"|Music by Jerome Kern; Lyrics by Dorothy Fields
                    Music (Song)|"""When Did You Leave Heaven"" from Sing, Baby, Sing"|Music by Richard A. Whiting; Lyrics by Walter Bullock
                    Outstanding Production|Anthony Adverse|Warner Brothers
                    Outstanding Production|Dodsworth|Samuel Goldwyn Productions
             Winner Outstanding Production|The Great Ziegfeld|Metro-Goldwyn-Mayer
                    Outstanding Production|Libeled Lady|Metro-Goldwyn-Mayer
                    Outstanding Production|Mr. Deeds Goes to Town|Columbia
                    Outstanding Production|Romeo and Juliet|Metro-Goldwyn-Mayer
                    Outstanding Production|San Francisco|Metro-Goldwyn-Mayer
                    Outstanding Production|The Story of Louis Pasteur|Cosmopolitan
                    Outstanding Production|A Tale of Two Cities|Metro-Goldwyn-Mayer
                    Outstanding Production|Three Smart Girls|Universal
             Winner Short Subject (Cartoon)|The Country Cousin|Walt Disney, Producer
                    Short Subject (Cartoon)|Old Mill Pond|Harman-Ising
                    Short Subject (Cartoon)|Sinbad the Sailor|Paramount
             Winner Short Subject (Color)|Give Me Liberty|Warner Brothers
                    Short Subject (Color)|La Fiesta de Santa Barbara|Lewis Lewyn, Producer
                    Short Subject (Color)|Popular Science J-6-2|Paramount
             Winner Short Subject (One Reel)|Bored of Education|Hal Roach, Producer
                    Short Subject (One Reel)|Moscow Moods|Paramount
                    Short Subject (One Reel)|Wanted, a Master|Pete Smith, Producer
                    Short Subject (Two Reel)|Double or Nothing|Warner Brothers
                    Short Subject (Two Reel)|Dummy Ache|RKO Radio
             Winner Short Subject (Two Reel)|The Public Pays|Metro-Goldwyn-Mayer
                    Sound Recording|Banjo on My Knee|20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director
                    Sound Recording|The Charge of the Light Brigade|Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director
                    Sound Recording|Dodsworth|United Artists Studio Sound Department, Thomas T. Moulton, Sound Director
                    Sound Recording|General Spanky|Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director
                    Sound Recording|Mr. Deeds Goes to Town|Columbia Studio Sound Department, John Livadary, Sound Director
             Winner Sound Recording|San Francisco|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|The Texas Rangers|Paramount Studio Sound Department, Franklin B. Hansen, Sound Director
                    Sound Recording|That Girl from Paris|RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director
                    Sound Recording|Three Smart Girls|Universal Studio Sound Department, Homer G. Tasker, Sound Director
                    Writing (Original Story)|Fury|Norman Krasna
                    Writing (Original Story)|The Great Ziegfeld|William Anthony McGuire
                    Writing (Original Story)|San Francisco|Robert Hopkins
             Winner Writing (Original Story)|The Story of Louis Pasteur|Pierre Collings, Sheridan Gibney
                    Writing (Original Story)|Three Smart Girls|Adele Comandini
                    Writing (Screenplay)|After the Thin Man|Frances Goodrich, Albert Hackett
                    Writing (Screenplay)|Dodsworth|Sidney Howard
                    Writing (Screenplay)|Mr. Deeds Goes to Town|Robert Riskin
                    Writing (Screenplay)|My Man Godfrey|Eric Hatch, Morris Ryskind
             Winner Writing (Screenplay)|The Story of Louis Pasteur|Pierre Collings, Sheridan Gibney
             Winner Special Award|The March of Time|
             Winner Special Award|W. Howard Greene and Harold Rosson|The Garden of Allah
1937      10        Actor|Charles Boyer|Conquest
                    Actor|Fredric March|A Star Is Born
                    Actor|Robert Montgomery|Night Must Fall
                    Actor|Paul Muni|The Life of Emile Zola
             Winner Actor|Spencer Tracy|Captains Courageous
                    Actor in a Supporting Role|Ralph Bellamy|The Awful Truth
                    Actor in a Supporting Role|Thomas Mitchell|The Hurricane
             Winner Actor in a Supporting Role|Joseph Schildkraut|The Life of Emile Zola
                    Actor in a Supporting Role|H. B. Warner|Lost Horizon
                    Actor in a Supporting Role|Roland Young|Topper
                    Actress|Irene Dunne|The Awful Truth
                    Actress|Greta Garbo|Camille
                    Actress|Janet Gaynor|A Star Is Born
             Winner Actress|Luise Rainer|The Good Earth
                    Actress|Barbara Stanwyck|Stella Dallas
             Winner Actress in a Supporting Role|Alice Brady|In Old Chicago
                    Actress in a Supporting Role|Andrea Leeds|Stage Door
                    Actress in a Supporting Role|Anne Shirley|Stella Dallas
                    Actress in a Supporting Role|Claire Trevor|Dead End
                    Actress in a Supporting Role|Dame May Whitty|Night Must Fall
                    Art Direction|Conquest|Cedric Gibbons, William Horning
                    Art Direction|A Damsel in Distress|Carroll Clark
                    Art Direction|Dead End|Richard Day
                    Art Direction|Every Day's a Holiday|Wiard Ihnen
                    Art Direction|The Life of Emile Zola|Anton Grot
             Winner Art Direction|Lost Horizon|Stephen Goosson
                    Art Direction|Manhattan Merry-Go-Round|John Victor Mackay
                    Art Direction|The Prisoner of Zenda|Lyle Wheeler
                    Art Direction|Souls at Sea|Hans Dreier, Roland Anderson
                    Art Direction|Walter Wanger's Vogues of 1938|Alexander Toluboff
                    Art Direction|Wee Willie Winkie|William S. Darling, David Hall
                    Art Direction|You're a Sweetheart|Jack Otterson
             Winner Assistant Director|In Old Chicago|Robert Webb
                    Assistant Director|The Life of Emile Zola|Russ Saunders
                    Assistant Director|Lost Horizon|C. C. Coleman, Jr.
                    Assistant Director|Souls at Sea|Hal Walker
                    Assistant Director|A Star Is Born|Eric Stacey
                    Cinematography|Dead End|Gregg Toland
             Winner Cinematography|The Good Earth|Karl Freund
                    Cinematography|Wings over Honolulu|Joseph Valentine
                    Dance Direction|Busby Berkeley|The Finale number from Varsity Show
                    Dance Direction|Bobby Connolly|Too Marvelous for Words number from Ready, Willing and Able
                    Dance Direction|Dave Gould|All God's Children Got Rhythm number from A Day at the Races
                    Dance Direction|Sammy Lee|Swing Is Here to Stay number from Ali Baba Goes to Town
                    Dance Direction|Harry Losee|Prince Igor Suite number from Thin Ice
             Winner Dance Direction|Hermes Pan|Fun House number from A Damsel in Distress
                    Dance Direction|LeRoy Prinz|Luau number from Waikiki Wedding
             Winner Directing|The Awful Truth|Leo McCarey
